COMID,AREA,Year,P10,P50,P90,MEAN,P10_Q,P50_Q,P90_Q,Estimated.Q,Month
7915025,9.5004,1950,0.0213370845152676,0.0796048754932668,0.171791355517253,0.0979754781636493,0.202710837728848,0.756278159136232,1.63208659395611,0.930806232745934,1
7915025,9.5004,1950,0.0390404475043027,0.110875615071637,0.219556345758517,0.123959314626775,0.370899867469878,1.05336269342658,2.08587310724422,1.17766307268021,2
7915025,9.5004,1950,0.0669557675628794,0.178919142937047,0.361852642819007,0.188791926328573,0.636106574154379,1.69980342555912,3.43774484783769,1.79359881689197,3
7915025,9.5004,1950,0.149411563762655,0.699096385542169,1.11057563587684,0.662709957354354,1.41946962037073,6.64169530120482,10.5509127710843,6.29600967884931,4
7915025,9.5004,1950,0.0932633168588687,0.347987616099071,0.773186986650967,0.417085892960639,0.886038815485996,3.30602154798762,7.34558564797885,3.96248281748326,5
7915025,9.5004,1950,0.146964440589766,0.44330315290392,1.61013274076526,0.680443712509037,1.39622097137901,4.2115572738484,15.2969050903663,6.46448744632085,6
7915025,9.5004,1950,0.0166666666666667,0.0972246313963574,0.404145188967263,0.203106699828214,0.158340000000001,0.923672888117954,3.83954095326458,1.92959489104797,7
7915025,9.5004,1950,0.00900738396624475,0.0389078498293515,0.116666666666667,0.0532918542369213,0,0.369640136518771,1.10838,0.506293931992447,8
7915025,9.5004,1950,0.0144833141542002,0.0417204076536579,0.128345098039216,0.0607191440609417,0.137597277790564,0.396360560872812,1.21932976941177,0.57685615623657,9
7915025,9.5004,1950,0.0343597262952102,0.0759768584475689,0.180100196262299,0.0980291969149298,0.326431143695015,0.721810545995284,1.71102390457035,0.9313165823706,10
7915025,9.5004,1950,0.066867469879518,0.108981386274747,0.200983724446996,0.12554161499381,0.635267710843373,1.03536676216461,1.90942577573624,1.19269555908719,11
7915025,9.5004,1950,0.0607655671740316,0.131408635071947,0.27600282386151,0.16633930286207,0.57729719438017,1.24843459663753,2.62213722781389,1.58028991291081,12
7915025,9.5004,1951,0.0611120234532124,0.126466395340409,0.415870419263303,0.188482500521411,0.580588667614899,1.20148134229202,3.95093533116908,1.79065914795362,1
